,CPI,BPP,NASDAQ
7/24/08,100,100,2280.11
7/25/08,100,99.99767,2310.53
7/26/08,100,99.92376,#N/A
7/27/08,100,99.91537,#N/A
7/28/08,100,99.89491,2264.22
7/29/08,100,99.8847,2319.62
7/30/08,100,99.88448,2329.72
7/31/08,100,99.86741,2325.55
8/1/08,100.5251,99.85761,2310.96
8/2/08,100.5251,99.85294,#N/A
8/3/08,100.5251,99.83906,#N/A
8/4/08,100.5251,99.82535,2285.56
8/5/08,100.5251,99.82465,2349.83
8/6/08,100.5251,99.83427,2378.37
8/7/08,100.5251,99.81851,2355.73
8/8/08,100.5251,99.80142,2414.1
8/9/08,100.5251,99.78883,#N/A
8/10/08,100.5251,99.78082,#N/A
8/11/08,100.5251,99.7608,2439.95
8/12/08,100.5251,99.75147,2430.61
8/13/08,100.5251,99.77388,2428.62
8/14/08,100.5251,99.75809,2453.67
8/15/08,100.5251,99.73899,2452.52
8/16/08,100.5251,99.72707,#N/A
8/17/08,100.5251,99.71787,#N/A
8/18/08,100.5251,99.70135,2416.98
8/19/08,100.5251,99.69447,2384.36
8/20/08,100.5251,99.67208,2389.08
8/21/08,100.5251,99.65166,2380.38
8/22/08,100.5251,99.64198,2414.71
8/23/08,100.5251,99.64449,#N/A
8/24/08,100.5251,99.64074,#N/A
8/25/08,100.5251,99.62969,2365.59
8/26/08,100.5251,99.62855,2361.97
8/27/08,100.5251,99.62545,2382.46
8/28/08,100.5251,99.61861,2411.64
8/29/08,100.5251,99.63757,2367.52
8/30/08,100.5251,99.65075,#N/A
8/31/08,100.5251,99.65405,#N/A
9/1/08,100.1238,99.65436,#N/A
9/2/08,100.1238,99.65764,2349.24
9/3/08,100.1238,99.68775,2333.73
9/4/08,100.1238,99.68852,2259.04
9/5/08,100.1238,99.68796,2255.88
9/6/08,100.1238,99.68794,#N/A
9/7/08,100.1238,99.6813,#N/A
9/8/08,100.1238,99.67079,2269.76
9/9/08,100.1238,99.66275,2209.81
9/10/08,100.1238,99.7037,2228.7
9/11/08,100.1238,99.72311,2258.22
9/12/08,100.1238,99.72526,2261.27
9/13/08,100.1238,99.72569,#N/A
9/14/08,100.1238,99.78613,#N/A
9/15/08,100.1238,99.85674,2179.91
9/16/08,100.1238,99.91457,2207.9
9/17/08,100.1238,99.9497,2098.85
9/18/08,100.1238,99.95036,2199.1
9/19/08,100.1238,99.91812,2273.9
9/20/08,100.1238,99.8864,#N/A
9/21/08,100.1238,99.8508,#N/A
9/22/08,100.1238,99.80765,2178.98
9/23/08,100.1238,99.7869,2153.33
9/24/08,100.1238,99.87166,2155.68
9/25/08,100.1238,99.77582,2186.57
9/26/08,100.1238,99.76343,2183.34
9/27/08,100.1238,99.77045,#N/A
9/28/08,100.1238,99.77747,#N/A
9/29/08,100.1238,99.78448,1983.73
9/30/08,100.1238,99.70792,2082.33
10/1/08,99.98538,99.72428,2069.4
10/2/08,99.98538,99.71141,1976.72
10/3/08,99.98538,99.68761,1947.39
10/4/08,99.98538,99.65264,#N/A
10/5/08,99.98538,99.619,#N/A
10/6/08,99.98538,99.59171,1862.96
10/7/08,99.98538,99.56267,1754.88
10/8/08,99.98538,99.54054,1740.33
10/9/08,99.98538,99.49763,1645.12
10/10/08,99.98538,99.4362,1649.51
10/11/08,99.98538,99.35979,#N/A
10/12/08,99.98538,99.27314,#N/A
10/13/08,99.98538,99.28693,1844.25
10/14/08,99.98538,99.29342,1779.01
10/15/08,99.98538,99.11884,1628.33
10/16/08,99.98538,99.06899,1717.71
10/17/08,99.98538,99.00227,1711.29
10/18/08,99.98538,98.93402,#N/A
10/19/08,99.98538,98.84888,#N/A
10/20/08,99.98538,98.78794,1770.03
10/21/08,99.98538,98.7195,1696.68
10/22/08,99.98538,98.67224,1615.75
10/23/08,99.98538,98.6231,1603.91
10/24/08,99.98538,98.47942,1552.03
10/25/08,99.98538,98.48634,#N/A
10/26/08,99.98538,98.39499,#N/A
10/27/08,99.98538,98.33689,1505.9
10/28/08,99.98538,98.26626,1649.47
10/29/08,99.98538,98.22511,1657.21
10/30/08,99.98538,98.1616,1698.52
10/31/08,99.98538,97.98654,1720.95
11/1/08,98.97539,97.99059,#N/A
11/2/08,98.97539,97.91126,#N/A
11/3/08,98.97539,97.8488,1726.33
11/4/08,98.97539,97.79496,1780.12
11/5/08,98.97539,97.76389,1681.64
11/6/08,98.97539,97.71959,1608.7
11/7/08,98.97539,97.66637,1647.4
11/8/08,98.97539,97.61125,#N/A
11/9/08,98.97539,97.55649,#N/A
11/10/08,98.97539,97.50052,1616.74
11/11/08,98.97539,97.45087,1580.9
11/12/08,98.97539,97.41273,1499.21
11/13/08,98.97539,97.38512,1596.7
11/14/08,98.97539,97.32415,1516.85
11/15/08,98.97539,97.2562,#N/A
11/16/08,98.97539,97.19068,#N/A
